Model,Augmentasi,Freeze,Learning Rate,Layer,Optimizer,Result Train,Validation,Test,Test Loss,Time (min),Epoch
Xception,No,½,0.001,1,SGD,0.849,0.8696,0.8366,0.7166,28,50
Xception,No,None,0.001,1,SGD,0.9777,0.9565,0.9604,0.1955,54,50
Xception,No,Full,0.0001,1,SGD,0.0814,0.1449,0.1287,2.926,16,50
Xception,No,½,0.0001,1,SGD,0.1052,0.1449,0.198,2.913,29,50
Xception,No,None,0.0001,1,SGD,0.1489,0.1739,0.1436,2.93,52,50
Xception,No,Full,0.001,2,SGD,0.3199,0.5604,0.5,2.313,16,50
Xception,No,½,0.001,2,SGD,0.7844,0.8068,0.7871,0.8231,29,50
Xception,No,None,0.001,2,SGD,0.9527,0.9614,0.9505,0.2266,54,50
Xception,No,Full,0.0001,2,SGD,0.0743,0.1401,0.1584,2.904,16,50
Xception,No,½,0.0001,2,SGD,0.0752,0.1256,0.1139,2.951,29,50
Xception,No,None,0.0001,2,SGD,0.0934,0.1449,0.1782,2.979,51,50
Xception,No,Full,0.001,1,Adam,0.8261,0.8116,0.7624,0.9122,16,50
Xception,No,½,0.001,1,Adam,0.9759,0.9855,0.9307,0.1627,5,9
Xception,No,None,0.001,1,Adam,0.9815,0.9855,1,0.01162,10,9
Xception,No,Full,0.0001,1,Adam,0.6583,0.6957,0.6584,1.531,15,50
Xception,No,½,0.0001,1,Adam,0.9859,0.9614,0.9653,0.09585,6,9
Xception,No,None,0.0001,1,Adam,0.9982,0.9903,0.9901,0.02281,11,11
Xception,No,Full,0.001,2,Adam,0.7529,0.7874,0.7426,0.9114,5,15
Xception,No,½,0.001,2,Adam,0.9874,0.9758,0.9455,0.2133,7,12
Xception,No,None,0.001,2,Adam,0.9938,1,0.9802,0.1278,15,14
Xception,No,Full,0.0001,2,Adam,0.8029,0.8213,0.7525,0.8731,16,50
Xception,No,½,0.0001,2,Adam,0.9988,0.9662,0.9307,0.2068,8,14
Xception,No,None,0.0001,2,Adam,0.9968,0.9952,0.9802,0.04229,14,15
